Price,Close,High,Low,Open,Volume
Ticker,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS,ADANIPORTS.NS
Date,,,,,
2013-07-18,139.8724822998047,140.66642195702482,135.48249739194398,136.08961765759332,1208925
2013-07-19,137.02365112304688,140.57300561017942,135.76270580351573,140.57300561017942,670836
2013-07-22,136.04290771484375,137.1637670130176,134.50174755833174,136.36982738553078,518078
2013-07-23,137.11708068847656,138.28463073818716,136.3698458061978,136.3698458061978,854668
2013-07-24,136.04290771484375,137.67747756364292,134.22153273378828,134.7352575367316,557040
2013-07-25,137.63079833984375,138.93844862598414,134.1748389721656,135.90281865600465,1002650
2013-07-26,134.12814331054688,138.51812825092722,133.24079395096814,138.23791341381389,1729266
2013-07-29,130.2519073486328,133.56775301879472,128.8041421402722,133.56775301879472,1552283
2013-07-30,127.66470336914062,131.7100874990934,127.05319799071323,129.92259919656698,1537956
2013-07-31,117.83349609375,127.80583763301016,109.7427345240366,127.75879544216002,5120681
2013-08-01,132.6038360595703,139.61269164920023,117.78645072322902,119.00947587601094,6475235
2013-08-02,117.83349609375,134.532454622006,117.59829949476048,134.532454622006,4117068
2013-08-05,115.9519271850586,121.36144914298222,110.96575624844188,121.36144914298222,3230823
2013-08-06,122.34927368164062,126.77096687217828,113.2236413330576,113.55291513616052,3407089
2013-08-07,126.2535171508789,127.33542999671138,120.89103817301125,121.36143131765331,1814154
2013-08-08,133.77984619140625,136.41405143499685,125.5479637772254,126.9591436196564,1294871
2013-08-12,135.8025360107422,138.29561447516215,133.21537315491432,134.90877735815516,1539039
2013-08-13,135.8025360107422,138.6248954898271,133.68576640142848,136.31995709769762,676958
2013-08-14,136.83737182617188,138.86007109315443,135.049883502104,136.17882425179215,2171281
2013-08-16,133.54464721679688,138.10746770300983,132.60386067162005,136.3199646540158,1747053
2013-08-19,123.47822570800781,131.89826184713948,117.69238741073492,127.47656825474331,2769817
2013-08-20,120.138427734375,125.83018867248174,117.59830717054368,120.42066654263672,1164236
2013-08-21,119.1976547241211,124.84237410510801,118.53910700072535,124.13678418248465,939051
2013-08-22,115.05818176269531,119.38579784884993,112.98844733705215,118.53908863734276,2481435
2013-08-23,116.04600524902344,117.41014988549736,111.90654350209054,116.6575178669165,3373987
2013-08-26,116.4693603515625,120.09138659212654,114.30554873894985,117.3631045694156,2440388
2013-08-27,116.1871337890625,118.16278402120449,114.5877995958122,115.81081775017083,1341557
2013-08-28,115.52857971191406,118.63317071131951,114.3055544475952,114.87002488588428,1892163
2013-08-29,120.18546295166016,120.89105275372471,114.11739352495736,115.24633433720837,1572244
2013-08-30,118.4920425415039,122.58446906601895,115.38745177177071,119.47987111865524,1635610
2013-09-02,122.67852783203125,123.24300535438422,116.84565564050929,118.16275789661647,646648
2013-09-03,114.7289047241211,124.13676922557033,113.59996385499959,123.71341819405752,1872958
2013-09-04,116.37528991699219,117.45719585297323,111.6713573063194,111.6713573063194,1005021
2013-09-05,115.2933578491211,120.79694880040233,114.63480316731169,118.5390675417114,1712545
2013-09-06,119.33875274658203,119.95026533873701,115.29337555546181,116.28119696343776,1009977
2013-09-10,121.73775482177734,122.77262560731516,118.53908679326982,119.9502663979516,1089788
2013-09-11,120.60881805419922,123.00782633367116,119.95027042097952,121.36145007299105,1760377
2013-09-12,121.50255584716797,122.77262320867243,119.29171645618372,121.36144363156126,865513
2013-09-13,128.13511657714844,128.88774863732402,121.83184998929532,121.83184998929532,1256650
2013-09-16,128.18214416503906,132.27457065663276,127.00616119104788,131.14561551739249,864897
2013-09-17,124.4660415649414,128.32325712899527,123.61932520556786,127.94694831722548,1135789
2013-09-18,125.17162322998047,127.19430808368026,123.29005058272112,125.73608641100223,312008
2013-09-19,129.78146362304688,133.30941215043268,126.44166947940313,128.51141076634357,2949490
2013-09-20,131.4278564453125,132.83903603711312,127.94694965658985,129.16997484053596,2326944
2013-09-23,131.33380126953125,131.89826455692128,127.99400632023827,130.76932362687847,2996106
2013-09-24,130.67526245117188,132.46276573364156,129.7344757831137,129.82856019202566,1450785
2013-09-25,132.3686065673828,133.54458923829995,128.8877007325195,129.8284868692532,1023461
2013-09-26,132.6979217529297,135.00284551258008,131.71009318300497,132.2745707530365,979813
2013-09-27,132.2745819091797,134.53246366921553,130.39300899072913,133.59167720999025,632896
2013-09-30,129.87557983398438,133.35648703002957,128.93479332936334,132.36865832912494,861504
2013-10-01,130.48709106445312,132.08642532166547,128.51144793093087,130.016697791434,2335850
2013-10-03,132.50979614257812,133.8268916185106,130.91044746503496,131.2397285116501,421126
2013-10-04,134.4383544921875,137.58999429156825,130.67520934917025,131.4748834341652,4360793
2013-10-07,136.1317596435547,137.35478456898772,134.20314507136317,134.5324259819537,878860
2013-10-08,135.9436492919922,137.91930668470755,134.53246954155628,135.4732560418469,666262
2013-10-09,137.16665649414062,138.06040068030336,134.48540958039155,134.5324517702445,387134
2013-10-10,137.16665649414062,138.71894827246217,135.42619595640724,137.30776870843863,1100941
2013-10-11,141.49424743652344,142.81135681065012,135.56730549636,135.56730549636,5286940
2013-10-14,142.01170349121094,143.37584089326424,140.9768470695979,142.52913887964803,1457949
2013-10-15,142.3409881591797,142.90545139779326,139.89493772606957,141.212047326691,2133195
2013-10-17,141.2590789794922,143.70512947868087,140.1771803098098,140.1771803098098,3169858
2013-10-18,143.70510864257812,145.77483565050272,141.1179462938574,141.541297261687,1633030
2013-10-21,147.60939025878906,153.34819342349084,142.38803687489838,142.38803687489838,2044981
2013-10-22,150.3376922607422,154.66530174015344,147.4682904370077,147.75052927061924,2720432
2013-10-23,149.5850067138672,151.3724947626843,145.35146878800302,151.09027038516666,3553428
2013-10-24,145.72779846191406,152.125148451025,142.15282185073647,148.64424186078034,6241761
2013-10-25,135.8495635986328,148.12683018088083,134.67358048453363,145.82190614829895,3766465
2013-10-28,136.5081024169922,139.1422926604869,132.50976050887175,136.08473708368894,2508923
2013-10-29,136.5081024169922,137.44888874831463,133.07422369450913,136.41401804175587,3491805
2013-10-30,137.7781524658203,140.64755358731585,136.2729029803829,137.1196049187377,1799363
2013-10-31,136.88441467285156,138.20150982794317,134.15613998505015,137.82520102799143,1905129
2013-11-01,136.27291870117188,138.2956037623948,135.2850900889596,136.8844241321663,2084157
2013-11-05,142.8583984375,146.29226252310926,132.27455307811107,134.53243434601043,6256796
2013-11-06,141.96466064453125,147.32715455686355,141.11795863482672,142.99953141662442,2318436
2013-11-07,139.5186309814453,146.6685992640333,138.2956057466471,142.15283586671953,1625414
2013-11-08,139.61270141601562,143.84624037970525,137.9192973147492,139.18935039069902,1605475
2013-11-11,141.02389526367188,143.28179155137195,139.09529435921107,140.45943195819427,2734419
2013-11-12,137.54295349121094,143.7521487818164,136.41401280798985,141.3531408579343,1070011
2013-11-13,136.6492156982422,138.76598496034921,135.4732327748494,137.82519862163497,1387266
2013-11-14,143.75218200683594,146.33934491667497,135.47325782429843,135.47325782429843,3581094
2013-11-18,145.63372802734375,148.55015706266627,144.36366072864405,144.5988573131988,3407642
2013-11-19,145.44557189941406,148.5971974817754,144.50478557239396,144.928136548501,2106533
